original_name,cleaned_name,vk_name,vk_url,match_quality,relevance_score,city
allo picca profsoyuznaya 140,allo пицца profsoyuznaya 140,Не найдено,,not_found,0,не найден
pizzasushiwok ynguo,pizzasushiwok,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
yakitoriya mh6s8,yakitoriya,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
siti c5nld,siti,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
zotman zvwod,zotman,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
a4 zgr53,a4,RUSPIZZA Москва | Доставка пиццы,https://vk.com/ruspizza.moscow,excellent,21,Москва
picca  giros leninskij prospekt vl78,пицца giros leninskij prospekt,Суши Санрайз | Каневская: Роллы Пицца Доставка,https://vk.com/sushi_sunrise_kanevskaya,excellent,12,не указан
picca paolo ostrovityanova 7,пицца паоло ostrovityanova 7,Не найдено,,not_found,0,не найден
oreganos v4ng6,oreganos,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
osteriya mario,osteriya,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
dona,dona,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
pizza express 24 kulikovskaya 5,пицца экспресс 24 kulikovskaya 5,"Доставка ""Планета Вкуса"" Роллы/Пицца/Оренбург",https://vk.com/planetavkusa229527,excellent,10,не указан
Tomatino Pizzeriya,Tomatino Pizzeriya,NAPOLI PIZZERIA/ Доставка /Пицца/ Паста Владимир,https://vk.com/napolivladimir,excellent,11,не указан
dendi 8qbfm,dendi,RUSPIZZA Москва | Доставка пиццы,https://vk.com/ruspizza.moscow,excellent,21,Москва
imperiya vk8sf,imperiya,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
tako i burrito profsoyuznaya 104,tako i burrito profsoyuznaya 104,Не найдено,,not_found,0,не найден
grande osteria gatom,grande остерия,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
garden 8b49n,garden,RUSPIZZA Москва | Доставка пиццы,https://vk.com/ruspizza.moscow,excellent,21,Москва
hot heavy burger sb642,hot heavy бургер,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
ollis ztphg,ollis,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
limonchino profsoyuznaya 33k1,limonchino profsoyuznaya,Москва (м.Профсоюзная) | Pomodoro | Пицца,https://vk.com/moskva.pomodoro,excellent,16,Москва
pizza express 24 xmrnw,пицца экспресс 24,Доставка пиццы в Астане WOW PIZZA  Доставка 24/7,https://vk.com/wowpizza.astana,excellent,13,не указан
mnogo lososya qxzcb,mnogo lososya,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
rimlyane cp9k2,rimlyane,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
pizzamento xvouc,pizzamento,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
vkus azii 34pxm,vkus azii,Доставка пиццы в Москве | Милан Пицца,https://vk.com/milanpizzadostavka,excellent,18,Москва
mosca,mosca,"PIZZALAND-MOSCOW [Доставка пиццы, пасты, роллов]",https://vk.com/pizzalandmsk,excellent,23,Москва
pizza lo,пицца lo,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
sushi picca 312 vogjh,суши пицца 312,"Доставка суши , шашлыки ! 312-547  632-454",https://vk.com/club66286270,excellent,11,не указан
pyatnicca icca,pyatnicca,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
sirijskaya shaurma xalyal,sirijskaya shaurma,"Шаве́рма,Шаурма́,Пицца,Рол,Суши,Пита Москва Киев",https://vk.com/shaurma_ru_ua,excellent,19,Москва
magiya bq67n,magiya,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
transpicca jw45n,transpicca,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
picca dom 8gd9s,пицца dom,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
koala gnqlw,koala,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
chajxona 1 timura lanskogo butlerova 22,chajxona 1 timura lanskogo butlerova 22,Не найдено,,not_found,0,не найден
eywa ,eywa,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
bigl pk74m,bigl,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
chajxana 5 9k7tm,chajxana 5,"ПИЦЦЕРИЯ ""5 УРОВЕНЬ"" - доставка пиццы по городу",https://vk.com/pizza5thlevel,good,7,не указан
dvor grilbistro,dvor grilbistro,Доставка шашлыка и пиццы(Шашлычный двор &O Pizza,https://vk.com/club108034400,excellent,11,не указан
fornetto kievskoe shosse 22j kilometr 6s1 rfqyw,fornetto kievskoe shosse 22j kilometr 6s1,Не найдено,,not_found,0,не найден
dostaevskij bk8jp,dostaevskij,| ПИЦЦА PIZZA ВАО| ДОСТАВКА ПИЦЦЫ В МОСКВЕ|,https://vk.com/mosgorpizza,excellent,24,Москва
crazy brothers xjvg9,crazy brothers,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
kulinariya wr9pn,kulinariya,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
picca 1 lz2mv,пицца 1,"•●•●•●•●•●•●•●•● ДОСТАВКА СУШИ И ПИЦЦЫ ""Море Роллов"" № 1 В Москве ●•●•●•●•●•●•●•●•●•●•●•",https://vk.com/club24502899,excellent,21,Москва
lavka pirogov 4973w,lavka pirogov,Доставка пиццы в Москве | Милан Пицца,https://vk.com/milanpizzadostavka,excellent,18,Москва
mamma mia pizzeria,mamma mia pizzeria,"""MAMMA MIA""    pizzeria",https://vk.com/mm.pizza,excellent,24,не указан
la delizia 9h7kq,la delizia,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
il patio novoyasenevskoe,il patio novoyasenevskoe,"Фанаты ресторанов ""IL Patio""",https://vk.com/club664961,excellent,11,не указан
domino gcbhr,domino,Франшиза Domino's Pizza,https://vk.com/dominos.franshiza,excellent,13,не указан
frono,frono,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
shashlykmashlyk d3nq6,shashlykmashlyk,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
caff don antonio,caff don antonio,Дон Тано пицца  Балашиха,https://vk.com/dontano,good,6,не указан
picceriya milano,picceriya,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
shokoladnica profsoyuznaya 19,shokoladnica profsoyuznaya 19,Не найдено,,not_found,0,не найден
shashlychnaya natur ,shashlychnaya natur,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
sensation sushi kingdom,sensation суши kingdom,MAMIPIZZA | Доставка пиццы и суши в Москве,https://vk.com/mamipizzaru,excellent,23,Москва
shashlyk xinkali,shashlyk xinkali,"Доставка Москва💫 Роллы, пицца, шашлык",https://vk.com/club138404909,excellent,20,Москва
miss xlebens ,miss xlebens,САМСАмыч Новый | Шаурма | Бургеры | Челны,https://vk.com/samsamych_116,poor,2,не указан
dalorenzo profsoyuznaya 126k3,dalorenzo profsoyuznaya,Москва (м.Профсоюзная) | Pomodoro | Пицца,https://vk.com/moskva.pomodoro,excellent,16,Москва
kafebar siti,kafebar,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
bella vita gwkq4,bella vita,la bella vita,https://vk.com/club111123653,excellent,14,не указан
papa dzhons wjhlz,papa dzhons,Пиццерия Papa Johns Moscow,https://vk.com/club4959423,excellent,20,Москва
da chikko 7k8gt,da chikko,"FOODBAND | Пицца, суши, вок | Доставка по Москве",https://vk.com/foodband,excellent,22,Москва
pasta bravo bistro,pasta bravo,Pizza & Pasta | Пицца и Паста | Архангельск,https://vk.com/pizza_pasta29,excellent,19,не указан
marius,marius,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
cheretto rkfch,cheretto,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
pizza hut qt9gw,пицца hut,Pizza Hut Moscowskiy,https://vk.com/pizzahutmoskovskiy222,excellent,23,Москва
xlebnica q5xnd,xlebnica,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
ambassadori,ambassadori,"Доставка пиццы, роллов по Москве. Friskypizza.ru",https://vk.com/friskypizza,excellent,23,Москва
