name,url
"allo picca profsoyuznaya 140",https://eda.yandex.ru/restaurant/allo_picca_profsoyuznaya_140
"pizzasushiwok ynguo",https://eda.yandex.ru/restaurant/pizzasushiwok_ynguo
"yakitoriya mh6s8",https://eda.yandex.ru/restaurant/yakitoriya_mh6s8
"siti c5nld",https://eda.yandex.ru/restaurant/siti_c5nld
"zotman zvwod",https://eda.yandex.ru/restaurant/zotman_zvwod
"a4 zgr53",https://eda.yandex.ru/restaurant/a4_zgr53
"picca  giros leninskij prospekt vl78",https://eda.yandex.ru/restaurant/picca__giros_leninskij_prospekt_vl78
"picca paolo ostrovityanova 7",https://eda.yandex.ru/restaurant/picca_paolo_ostrovityanova_7
"oreganos v4ng6",https://eda.yandex.ru/restaurant/oreganos_v4ng6
"osteriya mario",https://eda.yandex.ru/restaurant/osteriya_mario
"dona",https://eda.yandex.ru/restaurant/dona
"pizza express 24 kulikovskaya 5",https://eda.yandex.ru/restaurant/pizza_express_24_kulikovskaya_5
"Tomatino Pizzeriya",https://eda.yandex.ru/restaurant/Tomatino_Pizzeriya
"dendi 8qbfm",https://eda.yandex.ru/restaurant/dendi_8qbfm
"imperiya vk8sf",https://eda.yandex.ru/restaurant/imperiya_vk8sf
"tako i burrito profsoyuznaya 104",https://eda.yandex.ru/restaurant/tako_i_burrito_profsoyuznaya_104
"grande osteria gatom",https://eda.yandex.ru/restaurant/grande_osteria_gatom
"garden 8b49n",https://eda.yandex.ru/restaurant/garden_8b49n
"hot heavy burger sb642",https://eda.yandex.ru/restaurant/hot_heavy_burger_sb642
"ollis ztphg",https://eda.yandex.ru/restaurant/ollis_ztphg
"limonchino profsoyuznaya 33k1",https://eda.yandex.ru/restaurant/limonchino_profsoyuznaya_33k1
"pizza express 24 xmrnw",https://eda.yandex.ru/restaurant/pizza_express_24_xmrnw
"mnogo lososya qxzcb",https://eda.yandex.ru/restaurant/mnogo_lososya_qxzcb
"rimlyane cp9k2",https://eda.yandex.ru/restaurant/rimlyane_cp9k2
"pizzamento xvouc",https://eda.yandex.ru/restaurant/pizzamento_xvouc
"vkus azii 34pxm",https://eda.yandex.ru/restaurant/vkus_azii_34pxm
"mosca",https://eda.yandex.ru/restaurant/mosca
"pizza lo",https://eda.yandex.ru/restaurant/pizza_lo
"sushi picca 312 vogjh",https://eda.yandex.ru/restaurant/sushi_picca_312_vogjh
"pyatnicca icca",https://eda.yandex.ru/restaurant/pyatnicca_icca
"sirijskaya shaurma xalyal",https://eda.yandex.ru/restaurant/sirijskaya_shaurma_xalyal
"magiya bq67n",https://eda.yandex.ru/restaurant/magiya_bq67n
"transpicca jw45n",https://eda.yandex.ru/restaurant/transpicca_jw45n
"picca dom 8gd9s",https://eda.yandex.ru/restaurant/picca_dom_8gd9s
"koala gnqlw",https://eda.yandex.ru/restaurant/koala_gnqlw
"chajxona 1 timura lanskogo butlerova 22",https://eda.yandex.ru/restaurant/chajxona_1_timura_lanskogo_butlerova_22
"eywa ",https://eda.yandex.ru/restaurant/eywa_
"bigl pk74m",https://eda.yandex.ru/restaurant/bigl_pk74m
"chajxana 5 9k7tm",https://eda.yandex.ru/restaurant/chajxana_5_9k7tm
"dvor grilbistro",https://eda.yandex.ru/restaurant/dvor_grilbistro
"fornetto kievskoe shosse 22j kilometr 6s1 rfqyw",https://eda.yandex.ru/restaurant/fornetto_kievskoe_shosse_22j_kilometr_6s1_rfqyw
"dostaevskij bk8jp",https://eda.yandex.ru/restaurant/dostaevskij_bk8jp
"crazy brothers xjvg9",https://eda.yandex.ru/restaurant/crazy_brothers_xjvg9
"kulinariya wr9pn",https://eda.yandex.ru/restaurant/kulinariya_wr9pn
"picca 1 lz2mv",https://eda.yandex.ru/restaurant/picca_1_lz2mv
"lavka pirogov 4973w",https://eda.yandex.ru/restaurant/lavka_pirogov_4973w
"mamma mia pizzeria",https://eda.yandex.ru/restaurant/mamma_mia_pizzeria
"la delizia 9h7kq",https://eda.yandex.ru/restaurant/la_delizia_9h7kq
"il patio novoyasenevskoe",https://eda.yandex.ru/restaurant/il_patio_novoyasenevskoe
"domino gcbhr",https://eda.yandex.ru/restaurant/domino_gcbhr
"frono",https://eda.yandex.ru/restaurant/frono
"shashlykmashlyk d3nq6",https://eda.yandex.ru/restaurant/shashlykmashlyk_d3nq6
"caff don antonio",https://eda.yandex.ru/restaurant/caff_don_antonio
"picceriya milano",https://eda.yandex.ru/restaurant/picceriya_milano
"shokoladnica profsoyuznaya 19",https://eda.yandex.ru/restaurant/shokoladnica_profsoyuznaya_19
"shashlychnaya natur ",https://eda.yandex.ru/restaurant/shashlychnaya_natur_
"sensation sushi kingdom",https://eda.yandex.ru/restaurant/sensation_sushi_kingdom
"shashlyk xinkali",https://eda.yandex.ru/restaurant/shashlyk_xinkali
"miss xlebens ",https://eda.yandex.ru/restaurant/miss_xlebens_
"dalorenzo profsoyuznaya 126k3",https://eda.yandex.ru/restaurant/dalorenzo_profsoyuznaya_126k3
"kafebar siti",https://eda.yandex.ru/restaurant/kafebar_siti
"bella vita gwkq4",https://eda.yandex.ru/restaurant/bella_vita_gwkq4
"papa dzhons wjhlz",https://eda.yandex.ru/restaurant/papa_dzhons_wjhlz
"da chikko 7k8gt",https://eda.yandex.ru/restaurant/da_chikko_7k8gt
"pasta bravo bistro",https://eda.yandex.ru/restaurant/pasta_bravo_bistro
"marius",https://eda.yandex.ru/restaurant/marius
"cheretto rkfch",https://eda.yandex.ru/restaurant/cheretto_rkfch
"pizza hut qt9gw",https://eda.yandex.ru/restaurant/pizza_hut_qt9gw
"xlebnica q5xnd",https://eda.yandex.ru/restaurant/xlebnica_q5xnd
"ambassadori",https://eda.yandex.ru/restaurant/ambassadori
"da chikko",https://eda.yandex.ru/restaurant/da_chikko
"tobiko xvbzj",https://eda.yandex.ru/restaurant/tobiko_xvbzj
"bufet 1",https://eda.yandex.ru/restaurant/bufet_1
"vkus vostoka 9vjwc",https://eda.yandex.ru/restaurant/vkus_vostoka_9vjwc
"amore more tq3bz",https://eda.yandex.ru/restaurant/amore_more_tq3bz
"diyor  6sdml",https://eda.yandex.ru/restaurant/diyor__6sdml
"palma nd897",https://eda.yandex.ru/restaurant/palma_nd897
"kafe casa de pino",https://eda.yandex.ru/restaurant/kafe_casa_de_pino
"zharim c54b6",https://eda.yandex.ru/restaurant/zharim_c54b6
"sushi pizza top 2jlwh",https://eda.yandex.ru/restaurant/sushi_pizza_top_2jlwh
"yamato gtkxp",https://eda.yandex.ru/restaurant/yamato_gtkxp
"namur",https://eda.yandex.ru/restaurant/namur
"pekarnya i picca",https://eda.yandex.ru/restaurant/pekarnya_i_picca
"chajxana xalyala ",https://eda.yandex.ru/restaurant/chajxana_xalyala_
"full skgq7",https://eda.yandex.ru/restaurant/full_skgq7
"shaverma po  moskovski zs3wg",https://eda.yandex.ru/restaurant/shaverma_po__moskovski_zs3wg
"bubble tea m4tv5",https://eda.yandex.ru/restaurant/bubble_tea_m4tv5
"siti kafe mikluxomaklaya 17",https://eda.yandex.ru/restaurant/siti_kafe_mikluxomaklaya_17
"al c6wkh",https://eda.yandex.ru/restaurant/al_c6wkh
"seasons leninskij prospekt 109",https://eda.yandex.ru/restaurant/seasons_leninskij_prospekt_109
"mezhdubulok balaklavskij prospekt 5as11",https://eda.yandex.ru/restaurant/mezhdubulok_balaklavskij_prospekt_5as11
"monastyrskij dvorik",https://eda.yandex.ru/restaurant/monastyrskij_dvorik
"subway mikluxomaklaya 11",https://eda.yandex.ru/restaurant/subway_mikluxomaklaya_11
"gusto italiano gastromarket  salaris",https://eda.yandex.ru/restaurant/gusto_italiano_gastromarket__salaris
"piccalend",https://eda.yandex.ru/restaurant/piccalend
"ozyurt z5f3k",https://eda.yandex.ru/restaurant/ozyurt_z5f3k
"Uryuk mp7 ",https://eda.yandex.ru/restaurant/Uryuk_mp7_
"fiks kafe pokarmanu klzhs",https://eda.yandex.ru/restaurant/fiks_kafe_pokarmanu_klzhs
"farsh burger xalyal",https://eda.yandex.ru/restaurant/farsh_burger_xalyal
"sushi taun 2kmzf",https://eda.yandex.ru/restaurant/sushi_taun_2kmzf
"perchini euqib",https://eda.yandex.ru/restaurant/perchini_euqib
"vasabi 38jfr",https://eda.yandex.ru/restaurant/vasabi_38jfr
"myata lounge prokshino 2n5fz",https://eda.yandex.ru/restaurant/myata_lounge_prokshino_2n5fz
"piccerito",https://eda.yandex.ru/restaurant/piccerito
"up dz9bx",https://eda.yandex.ru/restaurant/up_dz9bx
"seryj gbvjc",https://eda.yandex.ru/restaurant/seryj_gbvjc
"kafe vostok cywjf",https://eda.yandex.ru/restaurant/kafe_vostok_cywjf
"vostok 1",https://eda.yandex.ru/restaurant/vostok_1
"family cafe sxj85",https://eda.yandex.ru/restaurant/family_cafe_sxj85
"kampus",https://eda.yandex.ru/restaurant/kampus
"poneslos",https://eda.yandex.ru/restaurant/poneslos
"the waffli",https://eda.yandex.ru/restaurant/the_waffli
"Picasso bar",https://eda.yandex.ru/restaurant/Picasso_bar
"desna jqm4h",https://eda.yandex.ru/restaurant/desna_jqm4h
"uzbechka akademika volgina 2a",https://eda.yandex.ru/restaurant/uzbechka_akademika_volgina_2a
"sokrovishhe ezdon",https://eda.yandex.ru/restaurant/sokrovishhe_ezdon
"shashlyk lavash n1",https://eda.yandex.ru/restaurant/shashlyk_lavash_n1
"dionis 1 maklaya",https://eda.yandex.ru/restaurant/dionis_1_maklaya
"xinkalnaya karina qb9pl",https://eda.yandex.ru/restaurant/xinkalnaya_karina_qb9pl
"food taxi n5dqc",https://eda.yandex.ru/restaurant/food_taxi_n5dqc
"arfa pirogi qpnf4",https://eda.yandex.ru/restaurant/arfa_pirogi_qpnf4
"Macadamia",https://eda.yandex.ru/restaurant/Macadamia
"tantoni xaus",https://eda.yandex.ru/restaurant/tantoni_xaus
"salt profsoyuznaya 27k1",https://eda.yandex.ru/restaurant/salt_profsoyuznaya_27k1
"byorger stejk udalcova 87s1",https://eda.yandex.ru/restaurant/byorger_stejk_udalcova_87s1
"piccafabrika  fjvd4",https://eda.yandex.ru/restaurant/piccafabrika__fjvd4
"kulinarnaya pqhcl",https://eda.yandex.ru/restaurant/kulinarnaya_pqhcl
"doner cqjlb",https://eda.yandex.ru/restaurant/doner_cqjlb
"la griglia chikina 8b",https://eda.yandex.ru/restaurant/la_griglia_chikina_8b
"nebo 8qt9g",https://eda.yandex.ru/restaurant/nebo_8qt9g
"shef yarmz",https://eda.yandex.ru/restaurant/shef_yarmz
"villadzhio",https://eda.yandex.ru/restaurant/villadzhio
"pandok tcwxi",https://eda.yandex.ru/restaurant/pandok_tcwxi
"domashnyaya kuxnya rgzv9",https://eda.yandex.ru/restaurant/domashnyaya_kuxnya_rgzv9
"sushiburger",https://eda.yandex.ru/restaurant/sushiburger
"parfe cafe",https://eda.yandex.ru/restaurant/parfe_cafe
"stolovaya vremya est",https://eda.yandex.ru/restaurant/stolovaya_vremya_est
"pxali l9mj2",https://eda.yandex.ru/restaurant/pxali_l9mj2
"chef eagle",https://eda.yandex.ru/restaurant/chef_eagle
"piccolo okt",https://eda.yandex.ru/restaurant/piccolo_okt
"xinkalnaya maximus ncfvl",https://eda.yandex.ru/restaurant/xinkalnaya_maximus_ncfvl
"pizza amore msk",https://eda.yandex.ru/restaurant/pizza_amore_msk
"shashlikouse1",https://eda.yandex.ru/restaurant/shashlikouse1
"plyushkipodruzhki sp6r3",https://eda.yandex.ru/restaurant/plyushkipodruzhki_sp6r3
"andiamo stroitelej 4s2",https://eda.yandex.ru/restaurant/andiamo_stroitelej_4s2
"pekarnya madam bulkinoj",https://eda.yandex.ru/restaurant/pekarnya_madam_bulkinoj
"u kamina vkusnyj shashlyk i ne tolko",https://eda.yandex.ru/restaurant/u_kamina_vkusnyj_shashlyk_i_ne_tolko
"blackstar gaming lounge mosfilmovskaya 53",https://eda.yandex.ru/restaurant/blackstar_gaming_lounge_mosfilmovskaya_53
"kafe les",https://eda.yandex.ru/restaurant/kafe_les
"pizza volante chongarskij bulvar 7",https://eda.yandex.ru/restaurant/pizza_volante_chongarskij_bulvar_7
"kafe delonix prospekt vernadskogo 94k1",https://eda.yandex.ru/restaurant/kafe_delonix_prospekt_vernadskogo_94k1
"kavkazskaya kuxnya wg9bs",https://eda.yandex.ru/restaurant/kavkazskaya_kuxnya_wg9bs
"chaihona36 mp",https://eda.yandex.ru/restaurant/chaihona36_mp
"sushi panda novo 31",https://eda.yandex.ru/restaurant/sushi_panda_novo_31
"hookahplace lago",https://eda.yandex.ru/restaurant/hookahplace_lago
"pekarnya na kozhevnicheskoj gmtln",https://eda.yandex.ru/restaurant/pekarnya_na_kozhevnicheskoj_gmtln
"entre",https://eda.yandex.ru/restaurant/entre
"gastrobar lavka 1",https://eda.yandex.ru/restaurant/gastrobar_lavka_1
"vkusno vsyo ",https://eda.yandex.ru/restaurant/vkusno_vsyo_
"tradicionnye pirogi",https://eda.yandex.ru/restaurant/tradicionnye_pirogi
"territoriya desertov yasnaya 1",https://eda.yandex.ru/restaurant/territoriya_desertov_yasnaya_1
"escobar burgers tako  burrito premium z47ts",https://eda.yandex.ru/restaurant/escobar_burgers_tako__burrito_premium_z47ts
"kovcheg ebvhy",https://eda.yandex.ru/restaurant/kovcheg_ebvhy
"dendi urtof",https://eda.yandex.ru/restaurant/dendi_urtof
"sushi hai cwhjd",https://eda.yandex.ru/restaurant/sushi_hai_cwhjd
"saxalinskaya volna",https://eda.yandex.ru/restaurant/saxalinskaya_volna
"pekarnya kofejnya 8ftmw",https://eda.yandex.ru/restaurant/pekarnya_kofejnya_8ftmw
